text,label
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'science & mathematics' topic. output each generated question in the form of a numbered list separated by new lines.",1
start_of_turn>model,0
tart_of_turn>user,5
explain the concept of entropy in thermodynamics and provide an example of how it applies to a real-world process.,1
start_of_turn>model,0
"explain the process of photosynthesis, including the inputs, outputs, and key stages.",1
tart_of_turn>user,3
start_of_turn>model,2
"i've been experiencing frequent headaches lately. what could be causing them, and what can i do to relieve the pain?",2
start_of_turn>model,4
"here are  new questions that fit the 'business & finance' topic, based on the provided examples:",5
here are  new questions that fit the 'health' topic:,2
describe the principles behind the doppler effect and provide an example of how it is observed in everyday life.,1
start_of_turn>model,3
which soccer player has scored the most goals in the champions league?,4
what are the latest trends in cryptocurrency and blockchain technology?,5
what are some strategies for investing in a volatile stock market?,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
"what are the key differences between mitosis and meiosis, and what are the biological implications of each process?",1
tart_of_turn>user,1
here are  new questions that fit the 'health' topic:,2
what are the key differences between a roth ira and a traditional ira retirement plan?,5
"what are the symptoms of type  diabetes, and how can i get tested for it?",2
which teams are still in contention for the world series?,4
"i've been experiencing frequent headaches lately. what are some common causes of headaches, and what can i do to relieve them?",2
tart_of_turn>user,3
start_of_turn>model,2
start_of_turn>model,0
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'business & finance' topic. output each generated question in the form of a numbered list separated by new lines.",5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'business & finance' topic. output each generated question in the form of a numbered list separated by new lines.",5
describe the process of photosynthesis and its importance to life on earth.,1
what are the pros and cons of starting a franchise versus an independent business?,5
here are  new questions that fit the 'business & finance' topic:,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'education & reference' topic. output each generated question in the form of a numbered list separated by new lines.",3
what are the main causes of the american civil war?,3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'education & reference' topic. output each generated question in the form of a numbered list separated by new lines.",3
here are  new questions that fit the 'sports' topic:,4
here are  new questions that fit the 'business & finance' topic:,5
do you think cultural traditions and norms should be upheld regardless of changing social values?,0
what are some effective ways to manage anxiety and stress without relying on medication?,2
tart_of_turn>user,2
here are  new questions that fit the 'sports' topic:,4
here are five new questions that fit the 'health' topic:,2
what are the current interest rates on a  -year fixed-rate mortgage?,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'sports' topic. output each generated question in the form of a numbered list separated by new lines.",4
explain the concept of photosynthesis and its importance to life on earth.,3
how does the circulatory system work in the human body?,3
what are the basic rules of grammar in the english language?,3
start_of_turn>model,0
here are  new questions that fit the 'education & reference' topic:,3
here are  new questions that fit the 'health' topic:,2
where is the fifa women's world cup being held next year?,4
how has the recent change in coaching staff impacted the performance of the los angeles lakers this season?,4
"my doctor told me i have high cholesterol, what are the best ways to lower it through lifestyle changes?",2
what are the main tenets of stoic philosophy?,3
tart_of_turn>user,4
start_of_turn>model,5
how do i cite sources in mla format?,3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
how can a beginner improve their badminton serve technique?,4
what is the formula for calculating the gravitational force between two objects?,1
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'sports' topic. output each generated question in the form of a numbered list separated by new lines.",4
what are some strategies for investing in mutual funds for beginners?,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'education & reference' topic. output each generated question in the form of a numbered list separated by new lines.",3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
here are  new questions that fit the 'sports' topic:,4
how does the scoring system work in rugby union?,4
tart_of_turn>user,5
what are the best ways to manage stress and anxiety without relying on medication?,2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'education & reference' topic. output each generated question in the form of a numbered list separated by new lines.",3
"i've been experiencing frequent headaches lately, is there a home remedy that could help?",2
what are the cultural implications of the increasing use of social media and its impact on interpersonal relationships?,0
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
"what is the difference between a covalent bond and an ionic bond, and how does this difference affect the properties of the resulting compounds?",1
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
"how has the representation of mental illness in media evolved over the past few decades, and what impact has this had on societal attitudes?",0
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
how does photosynthesis work in plants?,3
start_of_turn>model,1
tart_of_turn>user,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'business & finance' topic. output each generated question in the form of a numbered list separated by new lines.",5
"how do different types of electromagnetic radiation (e.g., radio waves, microwaves, visible light) differ in their wavelengths and frequencies?",1
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'business & finance' topic. output each generated question in the form of a numbered list separated by new lines.",5
here are  new questions that fit the 'business & finance' topic:,5
what are the latest injury updates on key players for the upcoming uefa champions league final?,4
explain the concept of entropy and how it relates to the second law of thermodynamics.,1
tart_of_turn>user,3
tart_of_turn>user,0
tart_of_turn>user,1
tart_of_turn>user,3
let me know if you'd like more examples!,1
here are  new questions that fit the 'health' topic:,2
how does the law of conservation of mass apply to chemical reactions?,1
what are the pros and cons of starting a small business versus working for a corporation?,5
start_of_turn>model,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'science & mathematics' topic. output each generated question in the form of a numbered list separated by new lines.",1
is there a way to watch the olympics live stream online for free?,4
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'education & reference' topic. output each generated question in the form of a numbered list separated by new lines.",3
what are some healthy snack options for when i'm feeling hungry between meals?,2
how do cultural differences impact communication styles and relationships across the globe?,0
start_of_turn>model,3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'education & reference' topic. output each generated question in the form of a numbered list separated by new lines.",3
"how does compound interest work, and why is it important for long-term savings?",5
here are five new questions that fit the 'sports' topic:,4
what are the societal impacts of increasing reliance on technology and social media?,0
tart_of_turn>user,3
what is the difference between a hypothesis and a theory in scientific research?,1
tart_of_turn>user,5
tart_of_turn>user,3
here are  new questions that fit the 'education & reference' topic:,3
here are five new questions that fit the 'science & mathematics' topic:,1
tart_of_turn>user,0
start_of_turn>model,5
start_of_turn>model,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'sports' topic. output each generated question in the form of a numbered list separated by new lines.",4
how have changing gender roles and societal expectations impacted family structures in recent decades?,0
"how has the concept of gender roles evolved over time, and what are the ongoing debates surrounding its definition and impact on individuals and society?",0
tart_of_turn>user,0
what are the key factors to consider when evaluating a potential stock investment?,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'business & finance' topic. output each generated question in the form of a numbered list separated by new lines.",5
explain the concept of nuclear fusion and its role in the energy production of stars.,1
explain the process of photosynthesis and its importance to the earth's ecosystem.,1
here are  new questions that fit the 'sports' topic:,4
what are some strategies for successful stock market investing for beginners?,5
tart_of_turn>user,3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'science & mathematics' topic. output each generated question in the form of a numbered list separated by new lines.",1
what are the latest odds for the upcoming wimbledon tournament?,4
tart_of_turn>user,5
my doctor diagnosed me with high cholesterol. are there any lifestyle changes i can make to lower it naturally?,2
start_of_turn>model,0
"i've been experiencing headaches that come and go, sometimes accompanied by nausea.  could this be a sign of something serious, or is it just stress?",2
what are some ways that cultural events and traditions contribute to a sense of community and identity?,0
"what are the factors that affect the rate of a chemical reaction, and how do they work?",1
tart_of_turn>user,4
what's the latest news on the injury status of tom brady?,4
tart_of_turn>user,3
start_of_turn>model,3
what are the current interest rates on a  -year fixed-rate mortgage?,5
tart_of_turn>user,4
"i'm having trouble sleeping through the night.  i feel tired during the day, but i can’t seem to fall asleep easily.  what could be causing this, and are there any tips for improving my sleep?",2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
how does the doppler effect explain the change in pitch of a siren as an ambulance approaches and moves away from an observer?,1
what are some strategies for managing personal debt effectively?,5
i'm having trouble sleeping soundly at night. i wake up feeling tired and unrested even after getting  hours of sleep. what could be causing this and how can i improve my sleep quality?,2
start_of_turn>model,2
let me know if you'd like more examples!,3
tart_of_turn>user,5
start_of_turn>model,3
start_of_turn>model,4
"explain the difference between a covalent and ionic bond, providing examples of each.",1
how can small businesses leverage social media for marketing and growth?,5
how do cultural differences influence dating rituals and expectations across various societies?,0
i have noticed my cholesterol levels are high. what are some lifestyle changes i can make to improve them?,2
can anyone challenge novak djokovic's dominance in tennis this year?,4
start_of_turn>model,3
tart_of_turn>user,0
tart_of_turn>user,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'education & reference' topic. output each generated question in the form of a numbered list separated by new lines.",3
how do societal expectations of gender roles differ across various cultures?,0
explain the pythagorean theorem and provide an example of its application.,3
what factors influence the exchange rate between the us dollar and the euro?,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'education & reference' topic. output each generated question in the form of a numbered list separated by new lines.",3
what investment strategies are recommended for long-term financial growth?,5
let me know if you'd like more examples!,5
what strategies can small businesses use to improve their cash flow?,5
what are the key differences between a roth ira and a traditional ira?,5
tart_of_turn>user,5
what are the odds of the miami heat winning the nba championship this year?,4
tart_of_turn>user,0
how do cultural differences affect communication styles and interpersonal relationships?,0
here are  new questions that fit the 'science & mathematics' topic:,1
explain the difference between a prokaryotic and eukaryotic cell.,1
what are the current interest rates for a  -year fixed-rate mortgage?,5
what are the biggest upsets in nba playoff history?,4
start_of_turn>model,0
what are the current trends in the cryptocurrency market?,5
i'm concerned about my family history of heart disease. what steps can i take to reduce my risk?,2
here are  new questions that fit the 'education & reference' topic:,3
here are five new questions that fit the 'sports' topic:,4
start_of_turn>model,4
to what extent should social media platforms be responsible for regulating the spread of misinformation and hate speech?,0
"how does the concept of ""tradition"" evolve over time, and what factors contribute to its preservation or change?",0
here are  new questions that fit the 'sports' topic:,4
here are  new questions that fit the 'business & finance' topic:,5
what strategies did coach (insert name) employ during the recent game against (insert team)?,4
how do different generations perceive and respond to technological advancements?,0
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'business & finance' topic. output each generated question in the form of a numbered list separated by new lines.",5
here are five new questions that fit the 'sports' topic:,4
is there a live stream for the upcoming tennis match between nadal and djokovic?,4
i'm looking for advice on healthy ways to manage my anxiety.  what are some options besides medication?,2
how can i improve my credit score and what are the benefits of having a good credit score?,5
how can i invest in real estate with limited capital?,5
let me know if you'd like more examples!,5
"how have societal attitudes towards mental health evolved over time, and what still needs to change?",0
here are  new questions that fit the 'health' topic:,2
here are five new questions that fit the 'education & reference' topic:,3
start_of_turn>model,1
"what are the key differences between mitosis and meiosis, and what are the biological implications of each process?",1
here are five new questions that fit the 'society & culture' topic:,0
start_of_turn>model,1
how does inflation affect small businesses?,5
let me know if you'd like me to generate more!,5
"describe the process of protein synthesis, from transcription to translation.",1
is there a new record for the fastest marathon time?,4
start_of_turn>model,3
here are  new questions that fit the 'education & reference' topic:,3
what are the primary differences between a simile and a metaphor?,3
describe the process of photosynthesis and explain its importance to the ecosystem.,1
tart_of_turn>user,3
how can i improve my sleep quality and reduce my fatigue during the day?,2
"what are the cultural implications of rapid technological advancements, particularly concerning artificial intelligence and automation?",0
what are the advantages and disadvantages of using a traditional ira versus a roth ira?,5
tart_of_turn>user,5
what are the current interest rates for a  -year fixed-rate mortgage?,5
what are some common strategies for managing personal debt?,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'sports' topic. output each generated question in the form of a numbered list separated by new lines.",4
tart_of_turn>user,1
start_of_turn>model,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'business & finance' topic. output each generated question in the form of a numbered list separated by new lines.",5
"how does compound interest work, and why is it important for saving?",5
"can you explain the plot summary of the novel ""pride and prejudice""?",3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
tart_of_turn>user,4
"how does compound interest work, and what are some strategies for maximizing its benefits?",5
start_of_turn>model,4
what are some strategies for budgeting and saving money effectively?,5
tart_of_turn>user,3
explain the process of photosynthesis and its importance to life on earth.,1
what is a good starting point for creating a personal budget?,5
let me know if you'd like more examples!,3
here are  new questions that fit the 'health' topic:,2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'sports' topic. output each generated question in the form of a numbered list separated by new lines.",4
how do cultural differences influence communication styles and misunderstandings between people from different backgrounds?,0
how does social media influence our understanding of current events and political issues?,0
is it better to invest in index funds or individual stocks for long-term growth?,5
what are some strategies for diversifying investments in a portfolio?,5
"how do perceptions of gender roles and expectations vary across different cultures, and what are the potential consequences of these variations?",0
"explain the process of cellular respiration, including the main stages and the role of atp.",1
do you think the new rules in formula  will make for more exciting races?,4
start_of_turn>model,1
here are  new questions that fit the 'business & finance' topic:,5
tart_of_turn>user,5
"explain the difference between a covalent bond and an ionic bond, and provide examples of each.",1
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'education & reference' topic. output each generated question in the form of a numbered list separated by new lines.",3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
start_of_turn>model,3
what are the key factors that contribute to the spread of misinformation and its impact on society?,0
what is the difference between a fundamental and a derived unit of measurement in the international system of units (si)?,1
tart_of_turn>user,3
here are  new questions that fit the 'society & culture' topic:,0
"if a car accelerates at a rate of  m/s², what will its velocity be after   seconds if it starts from rest?",1
how does photosynthesis work in plants?,3
"what are the main differences between a stock and a bond, and which is a better investment for a beginner?",5
in what ways do cultural norms surrounding gender roles differ across different countries and societies?,0
"how does compound interest work, and how can it impact long-term savings?",5
what are the different types of sedimentary rocks and how are they formed?,3
start_of_turn>model,0
how has the rise of social media impacted cultural expression and identity formation?,0
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
here are  new questions that fit the 'education & reference' topic:,3
"is it normal to feel anxious all the time, or should i talk to a doctor about it?",2
can you explain the process of photosynthesis in simple terms?,3
start_of_turn>model,5
what are the biggest challenges facing the nba this season?,4
here are five new questions that fit the 'science & mathematics' topic:,1
here are  new questions that fit the 'society & culture' topic:,0
here are  new questions that fit the 'sports' topic:,4
tart_of_turn>user,3
"my skin has been feeling very dry and itchy lately.  are there any natural remedies i can try, or should i see a dermatologist?",2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
start_of_turn>model,3
tart_of_turn>user,1
which team is favored to win the nba finals this year?,4
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'education & reference' topic. output each generated question in the form of a numbered list separated by new lines.",3
what are some common symptoms of seasonal affective disorder (sad)?,2
here are  new questions that fit the 'education & reference' topic:,3
what are the major historical events that led to the american revolution?,3
how has the portrayal of mental health in movies and television changed over the past few decades?,0
what are the cultural implications of increasingly virtualized social interactions?,0
here are five new questions that fit the 'science & mathematics' topic:,1
tart_of_turn>user,3
how do i convert a fraction to a decimal?,3
"what is the difference between a covalent bond and an ionic bond, and how do the properties of a substance differ based on the type of bonding?",1
"how does compound interest work, and how can it impact long-term savings?",5
start_of_turn>model,4
what are the major differences between the periodic table of elements and the dewey decimal system?,3
what is the pythagorean theorem and how can it be applied in real life?,3
how has inflation impacted small businesses in the past year?,5
describe the chemical reaction involved in the electrolysis of water and explain the role of an electrolyte in this process.,1
here are five new questions that fit the 'business & finance' topic:,5
here are  new questions that fit the 'sports' topic:,4
in what ways does social media influence our perception of beauty standards and body image?,0
start_of_turn>model,0
is there a rematch scheduled between mcgregor and mayweather?,4
i'm having trouble sleeping at night. what are some tips for improving my sleep quality?,2
here are  new questions that fit the 'science & mathematics' topic:,1
start_of_turn>model,1
"what are some cultural traditions or practices that have become outdated in modern society, and why are they still being maintained?",0
in what ways does music reflect the social and political climate of a particular era?,0
in what ways does social media influence our perception of beauty standards and body image?,0
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'health' topic. output each generated question in the form of a numbered list separated by new lines.",2
tart_of_turn>user,3
what are some strategies for starting a small business with limited capital?,5
start_of_turn>model,1
my doctor diagnosed me with high blood pressure. are there any lifestyle changes i can make to lower it without medication?,2
start_of_turn>model,4
here are  new questions that fit the 'sports' topic:,4
start_of_turn>model,3
start_of_turn>model,0
who is the current world record holder for the fastest marathon time?,4
can you predict the outcome of the upcoming uefa champions league final?,4
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'society & culture' topic. output each generated question in the form of a numbered list separated by new lines.",0
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'business & finance' topic. output each generated question in the form of a numbered list separated by new lines.",5
how does compound interest affect long-term savings?,5
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'science & mathematics' topic. output each generated question in the form of a numbered list separated by new lines.",1
in what ways do societal norms surrounding gender roles evolve over time?,0
start_of_turn>model,5
"i'm trying to reduce my cholesterol levels, but i'm not sure what foods i should avoid or which ones are beneficial. can you give me some dietary advice?",2
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'education & reference' topic. output each generated question in the form of a numbered list separated by new lines.",3
"what are the different types of electromagnetic radiation, and how do they differ in terms of wavelength and energy?",1
what is the capital of australia and what is it known for?,3
"you will be given examples of questions from 'question topic' classification dataset, each labeled with a specific topic. based on the examples of questions, generate  new questions that fit the 'education & reference' topic. output each generated question in the form of a numbered list separated by new lines.",3
"my skin has been breaking out more than usual. do you have any tips for managing acne, or should i see a dermatologist?",2
